Concentration,Time,Treatment,Environment,Date,Replica,Average Peak Ratio,Peak Ratio Standard of Deviation,Area Ratio
2,50,Erastin-,Well Plate,190228,2,0.09568056778899707,0.04536840431584191,0.08428664867642896
2.5,50,Erastin+,Well Plate,190228,1,0.07796851599462944,0.03301285127261322,0.10106462562355044
2.5,50,Erastin+,Well Plate,190228,2,0.14763321728500986,0.04759094287408184,0.12000255945096582
2.5,50,Erastin+,Well Plate,190228,3,0.10061477181029974,0.06083485799616735,0.15198672081082462
2.5,50,Erastin-,Well Plate,190228,1,0.1641997357043968,0.15257348009822322,0.10490635836667193
2.5,50,Erastin-,Well Plate,190228,2,0.05531089979987261,0.01807096276667707,0.04507110644935074
3,50,Erastin+,Well Plate,190228,1,0.30419057766479757,0.18324159485505748,0.31214635377061023
3,50,Erastin+,Well Plate,190228,2,0.10332765706576207,0.04693828549698623,0.09952831505758758
3,50,Erastin+,Well Plate,190228,3,0.1146931261524625,0.0335008721210835,0.09518511393277011
3,50,Erastin-,Well Plate,190228,1,0.354598357831377,0.12638756314443533,0.34157057900185334
3,50,Erastin-,Well Plate,190228,2,0.07522468097118651,0.02065149656236272,0.07009717737956171
0.5,30,Erastin+,Well Plate,190228,1,0.12781364398534698,0.2192955576275474,0.18539304845169255
0.5,30,Erastin+,Well Plate,190228,2,0.09808334609206242,0.05258037170946819,0.09584852822297824
0.5,30,Erastin+,Well Plate,190228,3,0.02061659201875736,0.01069963724659768,0.009072757100396256
0.5,30,Erastin-,Well Plate,190228,1,0.0023357691283729374,0.00158479037133976,0.0007626232499596291
0.5,30,Erastin-,Well Plate,190228,2,0.003927335696667761,0.0017703352332228675,0.0021098280366317152
1,30,Erastin+,Well Plate,190228,1,0.07270481389501995,0.0927932694313776,0.034128938223129256
1,30,Erastin+,Well Plate,190228,2,0.11001878245549068,0.044719492722996176,0.09711307854373309
1,30,Erastin+,Well Plate,190228,3,0.06835244774688924,0.027927470731986686,0.06842596140199085
1,30,Erastin-,Well Plate,190228,1,0.04184740019164068,0.019965693322107625,0.028297248772824742
1,30,Erastin-,Well Plate,190228,2,0.00887339552081707,0.008571719674926436,0.0045537111257948305
1.5,30,Erastin+,Well Plate,190228,1,0.03228049008567028,0.03134465864690597,0.014945521529177165
1.5,30,Erastin+,Well Plate,190228,2,0.07447649968153568,0.05443869071394358,0.05298294748597552
1.5,30,Erastin+,Well Plate,190228,3,0.16027703546052446,0.05764073314062899,0.25446652739459424
1.5,30,Erastin-,Well Plate,190228,1,0.050996095998331395,0.02055020964900075,0.034269326575455804
1.5,30,Erastin-,Well Plate,190228,2,0.028408183828206094,0.011224980306617482,0.016485590348201077
2,30,Erastin+,Well Plate,190228,1,0.22172716936059053,0.11379932540018484,0.14674988326516872
2,30,Erastin+,Well Plate,190228,2,0.13846622493357566,0.44327979081020147,0.15287813815049664
2,30,Erastin+,Well Plate,190228,3,0.2552616767130717,0.07428330957985332,0.23201736630615707
2,30,Erastin-,Well Plate,190228,1,0.03315209732833923,0.018189073508602632,0.02595600796218093
2,30,Erastin-,Well Plate,190228,2,0.007109120648669866,0.004783551724807795,0.003630435230492632
2.5,30,Erastin+,Well Plate,190228,1,0.03246330578203167,0.01072725736670144,0.032385594228199914
2.5,30,Erastin+,Well Plate,190228,2,0.05177441045843334,0.01750304917841411,0.04931989265608898
2.5,30,Erastin+,Well Plate,190228,3,0.10922223562495258,0.03893247097215991,0.09938583284893798
2.5,30,Erastin-,Well Plate,190228,1,0.02549495864722615,0.009268229703290215,0.0186597966208755
2.5,30,Erastin-,Well Plate,190228,2,0.01865320146029264,0.014258322494688233,0.01166626201076505
3,30,Erastin+,Well Plate,190228,1,0.16017161531330934,0.040371993711117805,0.13618805821920668
3,30,Erastin+,Well Plate,190228,2,0.04033269221771677,0.023214285755342328,0.02920181420911515
3,30,Erastin+,Well Plate,190228,3,0.09641730375936731,0.03452576255375476,0.1152645238294587
3,30,Erastin-,Well Plate,190228,1,0.031727385619786934,0.01734426687521168,0.01796694552422022
3,30,Erastin-,Well Plate,190228,2,0.015728750136131474,0.011193452814864334,0.011571069394891848
